NODE_KEY                        ,PO_ID     ,PARTNER_GUID_NODE_KEY            ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS,
74867AD200E41EDBA5D8B0C98DC28052,300000000.00,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,3913.91,3289.00,624.91,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC2A052,300000001.00,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,43534.96,36584.00,6950.96,N               ,N            ,
74867AD200E41EDBA5D8B0C98DC2C052,300000002.00,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,18142.74,15246.00,2896.74,N               ,A             ,
74867AD200E41EDBA5D8B0C98DC2E052,300000003.00,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,6251.07,5253.00,998.07,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC30052,300000004.00,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,4467.94,3754.57,713.37,N               ,D            ,
74867AD200E41EDBA5D8B0C98DC32052,300000005.00,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,6362.89,5346.96,1015.93,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC34052,300000006.00,74867AD200E41EDBA5D8B06885AD2052  ,EUR          ,4348.26,3654.00,694.26,N               ,X             ,
74867AD200E41EDBA5D8B0C98DC36052,300000007.00,74867AD200E41EDBA5D8B06885AFE052  ,EUR          ,1857.50,1560.92,296.58,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC38052,300000008.00,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,2791.74,2346.00,445.74,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC3A052,300000009.00,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,1427.76,1199.80,227.96,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC3C052,300000010.00,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,7261.38,6102.00,1159.38,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC3E052,300000011.00,74867AD200E41EDBA5D8B06885AF8052  ,EUR          ,475.52,399.60,75.92,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC40052,300000012.00,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,15621.13,13127.00,2494.13,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC42052,300000013.00,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,6320.04,5310.95,1009.09,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC44052,300000014.00,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,239.19,201.00,38.19,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC46052,300000015.00,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,13075.83,10988.10,2087.73,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC48052,300000016.00,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,1942.08,1632.00,310.08,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC4A052,300000017.00,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,117.80,98.99,18.81,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC4C052,300000018.00,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,19813.50,16650.00,3163.50,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC4E052,300000019.00,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,8448.47,7099.56,1348.91,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC50052,300000020.00,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,3980.08,3344.60,635.48,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC52052,300000021.00,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,7625.52,6408.00,1217.52,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC54052,300000022.00,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,1535.10,1290.00,245.10,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC56052,300000023.00,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,1624.35,1365.00,259.35,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC58052,300000024.00,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,13781.39,11581.00,2200.39,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC5A052,300000025.00,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,47582.15,39985.00,7597.15,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC5C052,300000026.00,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,18190.34,15286.00,2904.34,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC5E052,300000027.00,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,9182.04,7716.00,1466.04,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC60052,300000028.00,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,5806.01,4879.00,927.01,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC62052,300000029.00,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,1626.37,1366.70,259.67,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC64052,300000030.00,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,2691.78,2262.00,429.78,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC66052,300000031.00,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,4950.40,4160.00,790.40,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC68052,300000032.00,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,12020.19,10101.00,1919.19,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC6A052,300000033.00,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,71973.58,60482.00,11491.58,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC6C052,300000034.00,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,8751.26,7354.00,1397.26,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC6E052,300000035.00,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,4938.50,4150.00,788.50,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC70052,300000036.00,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,3227.24,2711.97,515.27,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC72052,300000037.00,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,8542.94,7178.94,1364.00,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC74052,300000038.00,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,3485.98,2929.40,556.58,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC76052,300000039.00,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,6127.29,5148.98,978.31,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC78052,300000040.00,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,13274.68,11155.20,2119.48,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC7A052,300000041.00,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,1933.73,1624.98,308.75,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC7C052,300000042.00,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,2153.90,1810.00,343.90,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC7E052,300000043.00,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,5622.75,4725.00,897.75,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC80052,300000044.00,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,20476.33,17207.00,3269.33,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC82052,300000045.00,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,90278.16,75864.00,14414.16,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC84052,300000046.00,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,12848.43,10797.00,2051.43,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC86052,300000047.00,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,1067.43,897.00,170.43,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC88052,300000048.00,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,5257.42,4418.00,839.42,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC8A052,300000049.00,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,16756.39,14081.00,2675.39,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC8C052,300000050.00,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,7349.35,6175.92,1173.43,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC8E052,300000051.00,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,11252.64,9456.00,1796.64,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC90052,300000052.00,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,3140.41,2639.00,501.41,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC92052,300000053.00,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,6251.07,5253.00,998.07,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC94052,300000054.00,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,3944.82,3314.97,629.85,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC96052,300000055.00,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,125635.44,105576.00,20059.44,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC98052,300000056.00,74867AD200E41EDBA5D8B06885B00052  ,EUR          ,974.61,819.00,155.61,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC9A052,300000057.00,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,3669.96,3084.00,585.96,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC9C052,300000058.00,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,7677.85,6451.97,1225.88,N               ,P             ,
74867AD200E41EDBA5D8B0C98DC9E052,300000059.00,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,3453.38,2902.00,551.38,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCA0052,300000060.00,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,12644.94,10626.00,2018.94,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCA2052,300000061.00,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,4598.16,3864.00,734.16,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCA4052,300000062.00,74867AD200E41EDBA5D8B06885AF4052  ,EUR          ,722.23,606.91,115.32,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCA6052,300000063.00,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,2354.54,1978.60,375.94,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCA8052,300000064.00,74867AD200E41EDBA5D8B06885ADE052  ,EUR          ,10281.60,8640.00,1641.60,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCAA052,300000065.00,74867AD200E41EDBA5D8B06885AE4052  ,EUR          ,213043.32,179028.00,34015.32,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCAC052,300000066.00,74867AD200E41EDBA5D8B06885AF8052  ,EUR          ,222.41,186.90,35.51,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCAE052,300000067.00,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,808.84,679.70,129.14,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCB0052,300000068.00,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,4137.63,3477.00,660.63,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCB2052,300000069.00,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,1995.63,1677.00,318.63,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCB4052,300000070.00,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,11320.47,9513.00,1807.47,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCB6052,300000071.00,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,12848.43,10797.00,2051.43,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCB8052,300000072.00,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,514.08,432.00,82.08,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCBA052,300000073.00,74867AD200E41EDBA5D8B06885ACE052  ,EUR          ,3260.60,2740.00,520.60,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCBC052,300000074.00,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,6117.69,5140.92,976.77,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCBE052,300000075.00,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,14307.48,12023.10,2284.38,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCC0052,300000076.00,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,3510.74,2950.20,560.54,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCC2052,300000077.00,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,8979.74,7546.00,1433.74,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCC4052,300000078.00,74867AD200E41EDBA5D8B06885AEA052  ,EUR          ,5519.22,4638.00,881.22,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCC6052,300000079.00,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,14102.69,11851.00,2251.69,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCC8052,300000080.00,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,3483.13,2927.00,556.13,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCCA052,300000081.00,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,53780.86,45194.00,8586.86,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCCC052,300000082.00,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,4872.25,4094.33,777.92,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCCE052,300000083.00,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,8811.95,7405.00,1406.95,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCD0052,300000084.00,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,5033.70,4230.00,803.70,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCD2052,300000085.00,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,4031.72,3388.00,643.72,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCD4052,300000086.00,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,6282.82,5279.68,1003.14,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCD6052,300000087.00,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,12603.29,10591.00,2012.29,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCD8052,300000088.00,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,6178.48,5192.00,986.48,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCDA052,300000089.00,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,7191.17,6043.00,1148.17,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCDC052,300000090.00,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,19331.55,16245.00,3086.55,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCDE052,300000091.00,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,3297.49,2771.00,526.49,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCE0052,300000092.00,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,1463.58,1229.90,233.68,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCE2052,300000093.00,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,7892.07,6631.99,1260.08,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCE4052,300000094.00,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,5115.77,4298.97,816.80,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCE6052,300000095.00,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,521.22,438.00,83.22,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCE8052,300000096.00,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,3297.49,2771.00,526.49,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCEA052,300000097.00,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,7775.46,6534.00,1241.46,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCEC052,300000098.00,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,5234.80,4398.99,835.81,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCEE052,300000099.00,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,24302.18,20422.00,3880.18,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCF0052,300000100.00,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,5007.75,4208.20,799.55,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCF2052,300000101.00,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,3653.30,3070.00,583.30,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCF4052,300000102.00,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,4074.08,3423.60,650.48,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCF6052,300000103.00,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,4696.93,3947.00,749.93,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCF8052,300000104.00,74867AD200E41EDBA5D8B06885ABC052  ,EUR          ,8509.64,7150.96,1358.68,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCFA052,300000105.00,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,6436.71,5409.00,1027.71,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCFC052,300000106.00,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,2942.87,2473.00,469.87,N               ,P             ,
74867AD200E41EDBA5D8B0C98DCFE052,300000107.00,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,8509.67,7150.98,1358.69,N               ,P             ,
74867AD200E41EDBA5D8B0C98DD00052,300000108.00,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,6053.53,5087.00,966.53,N               ,P             ,
